id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
2739,Male,Urban,High School,5L-10L,0,5,6454,1,A,Gold,34452
57584,Male,Rural,Bachelor,2L-5L,1,1,2316,More than 1,B,Silver,70836
78362,Male,Rural,Bachelor,5L-10L,1,5,3278,More than 1,A,Gold,88164
83660,Female,Urban,Others,5L-10L,1,6,0,1,A,Platinum,51024
66320,Male,Rural,High School,5L-10L,0,3,5478,More than 1,C,Platinum,67728
77693,Male,Urban,Bachelor,5L-10L,1,8,4133,1,B,Platinum,31320
11309,Female,Rural,Bachelor,5L-10L,1,4,3396,1,A,Platinum,48912
74901,Female,Urban,High School,5L-10L,0,6,11543,1,A,Gold,54252
27451,Male,Urban,High School,More than 10L,0,1,3085,1,A,Gold,44352
22558,Male,Urban,High School,2L-5L,1,5,8771,More than 1,A,Gold,150984
36140,Female,Urban,Bachelor,5L-10L,1,4,0,1,A,Platinum,30660
22242,Female,Urban,High School,5L-10L,0,6,7161,More than 1,A,Gold,65340
55594,Male,Urban,High School,5L-10L,1,2,5447,1,A,Silver,33564
1525,Male,Urban,High School,More than 10L,0,4,8037,1,B,Silver,49524
67690,Male,Urban,Bachelor,5L-10L,1,5,4033,1,C,Platinum,45084
59921,Female,Urban,Bachelor,2L-5L,1,4,2594,More than 1,B,Silver,71892
68974,Female,Urban,High School,5L-10L,0,2,6326,More than 1,A,Gold,101988
38840,Female,Urban,High School,5L-10L,0,1,6571,1,A,Gold,31968
76392,Female,Urban,High School,5L-10L,1,7,0,More than 1,C,Gold,86160
82390,Female,Urban,High School,2L-5L,0,6,6349,More than 1,B,Platinum,100368
4608,Female,Urban,Bachelor,5L-10L,1,6,4761,More than 1,A,Silver,104616
87628,Male,Urban,High School,2L-5L,0,7,2143,More than 1,A,Platinum,113064
76919,Female,Urban,High School,5L-10L,0,1,0,More than 1,A,Platinum,93492
59975,Male,Urban,Bachelor,5L-10L,0,8,4291,More than 1,A,Platinum,117528
35437,Male,Urban,Bachelor,5L-10L,1,8,9634,1,A,Platinum,164484
72135,Male,Urban,Bachelor,5L-10L,0,3,5679,More than 1,A,Gold,111600
62849,Male,Rural,Bachelor,More than 10L,0,8,0,More than 1,B,Platinum,99324
72053,Female,Urban,High School,5L-10L,0,4,3773,More than 1,A,Platinum,101664
20990,Male,Urban,Others,5L-10L,0,1,6124,1,A,Platinum,32676
2938,Female,Rural,Bachelor,5L-10L,1,4,0,More than 1,A,Platinum,179892
83412,Male,Rural,Bachelor,5L-10L,1,1,2048,More than 1,A,Platinum,109956
3123,Male,Rural,Bachelor,5L-10L,1,7,2924,More than 1,B,Silver,84528
8378,Male,Urban,Bachelor,2L-5L,1,1,5889,More than 1,B,Gold,106164
77782,Female,Urban,Bachelor,2L-5L,0,6,6662,More than 1,A,Gold,110292
61888,Female,Urban,High School,More than 10L,1,4,4787,1,A,Platinum,56304
46654,Male,Urban,Bachelor,5L-10L,1,0,5689,More than 1,B,Platinum,68640
11619,Male,Rural,Bachelor,2L-5L,0,5,0,1,B,Platinum,43752
32441,Male,Rural,Others,5L-10L,1,4,2147,More than 1,B,Platinum,58032
21068,Female,Rural,Bachelor,5L-10L,1,0,0,More than 1,B,Platinum,67356
24127,Female,Rural,High School,More than 10L,0,6,0,More than 1,A,Gold,108396
6501,Female,Rural,Bachelor,More than 10L,0,4,0,More than 1,B,Platinum,71424
48957,Male,Rural,Bachelor,5L-10L,1,7,3683,More than 1,B,Silver,65244
26222,Male,Rural,High School,5L-10L,1,1,3214,1,A,Silver,44400
12816,Male,Urban,Bachelor,5L-10L,0,3,6859,More than 1,A,Platinum,94224
47485,Male,Rural,High School,More than 10L,0,8,0,More than 1,B,Platinum,62652
12557,Male,Rural,Bachelor,5L-10L,1,4,9725,More than 1,B,Platinum,67068
8311,Female,Urban,Bachelor,5L-10L,0,5,0,1,A,Platinum,32700
44815,Female,Rural,High School,5L-10L,1,8,4538,More than 1,B,Gold,71748
83313,Female,Urban,Bachelor,2L-5L,1,6,0,1,B,Silver,63372
54150,Male,Urban,Bachelor,2L-5L,0,3,10309,More than 1,B,Gold,148968
52788,Male,Urban,High School,5L-10L,1,6,6391,1,A,Gold,103548
52376,Male,Urban,Bachelor,5L-10L,1,8,6916,More than 1,A,Silver,104304
8734,Female,Rural,Bachelor,5L-10L,1,7,2740,More than 1,A,Platinum,104124
23630,Male,Urban,High School,More than 10L,1,0,5122,1,B,Silver,32484
52893,Male,Rural,Others,5L-10L,1,7,3933,More than 1,B,Gold,64296
611,Female,Urban,Others,2L-5L,0,2,5640,More than 1,C,Platinum,101520
82917,Male,Urban,Bachelor,More than 10L,1,3,5061,1,C,Silver,31920
25639,Male,Urban,Bachelor,2L-5L,0,7,6828,1,A,Platinum,57312
84347,Male,Rural,High School,5L-10L,0,8,4301,More than 1,A,Platinum,90036
75545,Female,Urban,Bachelor,More than 10L,1,4,0,More than 1,A,Silver,62472
65242,Female,Rural,High School,5L-10L,1,1,0,1,A,Gold,34932
82243,Male,Rural,Bachelor,2L-5L,1,6,3669,More than 1,B,Silver,106116
52148,Male,Rural,High School,5L-10L,0,1,6166,1,C,Silver,52248
47446,Male,Urban,High School,5L-10L,0,4,6502,1,A,Silver,33204
62227,Male,Urban,Bachelor,5L-10L,0,6,0,More than 1,B,Silver,96300
59655,Male,Rural,Bachelor,5L-10L,0,6,0,1,A,Silver,53700
34586,Male,Rural,Bachelor,5L-10L,0,5,0,1,A,Silver,33468
59282,Female,Urban,High School,5L-10L,0,1,5782,1,C,Platinum,48156
45323,Female,Rural,High School,More than 10L,1,4,0,1,B,Gold,34764
19181,Male,Urban,High School,5L-10L,0,2,5429,More than 1,A,Silver,104568
82529,Female,Rural,Bachelor,More than 10L,0,4,0,1,A,Platinum,31200
57234,Female,Rural,Bachelor,More than 10L,1,5,0,1,B,Platinum,44712
49016,Female,Urban,High School,<=2L,1,5,3830,1,A,Silver,45384
72043,Male,Urban,Bachelor,5L-10L,1,7,5277,More than 1,A,Silver,121956
2452,Male,Rural,High School,5L-10L,1,0,10280,More than 1,B,Platinum,73788
14296,Male,Urban,Bachelor,More than 10L,1,6,4037,More than 1,A,Gold,101448
69954,Male,Urban,Bachelor,2L-5L,1,7,0,More than 1,B,Silver,72072
74333,Female,Urban,Bachelor,5L-10L,0,2,9144,More than 1,A,Silver,122736
85750,Male,Urban,High School,More than 10L,0,0,5977,1,C,Silver,38136
8532,Male,Urban,High School,5L-10L,1,2,5758,More than 1,A,Platinum,101760
54942,Female,Urban,High School,5L-10L,1,3,0,1,A,Silver,35076
66302,Female,Urban,High School,More than 10L,1,1,10181,1,A,Gold,53940
43025,Female,Rural,High School,5L-10L,1,1,2978,More than 1,A,Platinum,72648
60704,Male,Rural,High School,5L-10L,0,0,2636,1,A,Platinum,55884
14853,Female,Rural,Bachelor,5L-10L,0,7,0,1,A,Silver,34788
80373,Male,Urban,High School,2L-5L,1,6,5351,1,A,Platinum,47040
87056,Female,Rural,High School,5L-10L,0,8,0,More than 1,B,Platinum,70716
34787,Male,Rural,Bachelor,5L-10L,0,6,7349,More than 1,B,Silver,60696
23784,Female,Rural,High School,More than 10L,1,6,0,More than 1,B,Platinum,182784
29423,Male,Urban,High School,More than 10L,0,5,0,1,C,Silver,59628
13899,Female,Urban,High School,5L-10L,1,6,9991,More than 1,A,Platinum,60300
18457,Female,Rural,High School,5L-10L,0,2,0,1,A,Silver,33564
11963,Female,Rural,High School,5L-10L,1,4,0,1,A,Platinum,34080
67862,Male,Rural,Bachelor,5L-10L,0,7,0,1,B,Platinum,48096
26026,Male,Urban,High School,5L-10L,0,4,8756,More than 1,A,Platinum,112500
79329,Male,Rural,High School,More than 10L,1,2,0,More than 1,A,Platinum,60528
5737,Female,Urban,High School,2L-5L,1,2,5379,1,A,Platinum,31728
33562,Male,Urban,High School,2L-5L,0,7,10079,1,A,Platinum,62652
20370,Female,Rural,Bachelor,2L-5L,0,6,0,More than 1,B,Silver,81612
7431,Male,Urban,Bachelor,5L-10L,1,6,3656,1,A,Platinum,44784
7988,Male,Urban,Bachelor,2L-5L,1,6,4236,1,B,Platinum,42852
6177,Female,Urban,Bachelor,2L-5L,1,1,0,More than 1,C,Platinum,61296
79046,Male,Urban,High School,2L-5L,1,3,4969,1,C,Gold,31464
84861,Female,Urban,High School,<=2L,1,7,6089,More than 1,A,Silver,105936
46137,Male,Rural,High School,5L-10L,0,2,2111,1,B,Silver,36264
8961,Male,Urban,High School,5L-10L,0,4,10996,More than 1,A,Platinum,113712
3591,Female,Rural,Bachelor,More than 10L,0,7,0,More than 1,A,Gold,109728
9095,Female,Urban,High School,5L-10L,0,7,6452,1,A,Silver,36780
46990,Male,Urban,Bachelor,5L-10L,1,7,0,More than 1,A,Platinum,101376
43998,Female,Urban,High School,5L-10L,1,7,5688,More than 1,A,Platinum,88872
57143,Male,Urban,High School,2L-5L,1,6,0,1,A,Platinum,52080
26260,Male,Urban,High School,5L-10L,0,6,4296,More than 1,A,Gold,95580
19232,Male,Urban,High School,5L-10L,1,2,3789,1,A,Gold,50700
2035,Male,Urban,High School,5L-10L,0,3,15902,1,A,Silver,50388
25587,Male,Rural,High School,5L-10L,1,0,3864,More than 1,A,Gold,96600
60179,Male,Urban,Others,5L-10L,0,6,4756,More than 1,A,Gold,118176
64949,Female,Urban,Bachelor,5L-10L,0,6,5688,More than 1,A,Platinum,109908
39730,Female,Urban,High School,2L-5L,0,6,5040,More than 1,B,Platinum,96744
50055,Female,Rural,High School,5L-10L,0,2,0,1,B,Platinum,36408
65893,Female,Urban,High School,More than 10L,1,7,6921,1,C,Silver,36756
37518,Male,Urban,Bachelor,5L-10L,0,8,6635,More than 1,A,Silver,101088
22884,Male,Urban,High School,5L-10L,1,4,17370,More than 1,A,Platinum,437928
43267,Male,Urban,High School,More than 10L,0,4,5157,1,A,Gold,34560
17760,Male,Urban,Bachelor,More than 10L,0,1,5484,1,A,Platinum,47460
31219,Male,Urban,Bachelor,5L-10L,0,2,14183,1,A,Platinum,56508
77714,Female,Urban,High School,2L-5L,0,4,3806,1,A,Platinum,35148
55003,Female,Urban,Bachelor,5L-10L,1,2,4814,More than 1,A,Silver,109260
43089,Male,Rural,Bachelor,More than 10L,0,2,4026,More than 1,A,Gold,91992
64685,Female,Rural,High School,5L-10L,0,4,6100,More than 1,C,Platinum,77508
19955,Male,Urban,High School,2L-5L,1,6,6420,1,A,Silver,45648
26820,Female,Urban,High School,2L-5L,0,6,3801,More than 1,B,Platinum,103392
72444,Female,Urban,Bachelor,5L-10L,0,2,3970,More than 1,A,Platinum,95880
57843,Female,Rural,High School,5L-10L,0,6,0,1,C,Platinum,33648
10359,Male,Rural,High School,More than 10L,1,2,4079,More than 1,A,Platinum,95664
13901,Female,Urban,Bachelor,5L-10L,0,1,6542,More than 1,A,Platinum,99336
68813,Female,Urban,High School,More than 10L,0,4,7413,1,A,Gold,38472
70381,Male,Urban,High School,5L-10L,0,6,6057,1,A,Platinum,55956
62240,Female,Rural,High School,5L-10L,1,6,0,More than 1,C,Platinum,65100
27075,Male,Rural,Bachelor,5L-10L,1,4,2828,More than 1,A,Silver,103764
18952,Male,Rural,Bachelor,5L-10L,0,1,2209,More than 1,B,Platinum,63840
8473,Female,Urban,High School,5L-10L,0,7,2672,More than 1,A,Gold,124116
75272,Female,Urban,Bachelor,5L-10L,0,1,5728,More than 1,C,Platinum,63708
42041,Female,Urban,High School,<=2L,1,5,3968,More than 1,A,Platinum,341880
78943,Female,Rural,High School,2L-5L,1,5,0,1,A,Silver,52128
41064,Male,Urban,High School,5L-10L,1,5,5297,1,A,Silver,34260
55280,Male,Rural,Bachelor,5L-10L,1,7,2204,More than 1,B,Platinum,75060
11168,Male,Urban,High School,2L-5L,1,7,2968,More than 1,C,Silver,71796
76575,Male,Urban,Bachelor,5L-10L,1,8,3929,More than 1,B,Silver,73812
10198,Male,Urban,Others,<=2L,1,5,4161,More than 1,B,Platinum,61080
55256,Female,Rural,Others,5L-10L,0,8,0,1,B,Gold,57936
2252,Female,Urban,High School,5L-10L,0,6,7462,More than 1,B,Platinum,428436
30546,Male,Rural,High School,More than 10L,1,6,2139,1,B,Silver,52992
62087,Female,Rural,Bachelor,5L-10L,1,3,0,1,A,Platinum,43464
70042,Male,Urban,Bachelor,5L-10L,0,3,6761,More than 1,A,Platinum,61056
28124,Male,Urban,High School,5L-10L,1,7,4509,More than 1,B,Silver,87072
31353,Male,Urban,High School,5L-10L,0,7,4713,1,A,Gold,57552
5994,Male,Urban,High School,5L-10L,1,5,5613,More than 1,A,Silver,102912
15312,Female,Urban,High School,5L-10L,0,6,6010,More than 1,C,Gold,61872
28647,Male,Urban,High School,2L-5L,0,4,3183,1,A,Gold,50412
36254,Male,Rural,High School,More than 10L,1,2,0,More than 1,B,Platinum,66228
3635,Female,Rural,Bachelor,5L-10L,0,2,3462,1,C,Platinum,33024
11259,Male,Rural,High School,5L-10L,0,0,0,More than 1,A,Gold,42180
16916,Male,Rural,High School,5L-10L,0,5,0,1,B,Gold,57648
89227,Male,Rural,Bachelor,5L-10L,0,8,0,1,C,Silver,30396
55973,Male,Rural,Bachelor,5L-10L,1,6,4135,1,B,Gold,52620
34591,Female,Urban,High School,5L-10L,0,2,6208,More than 1,A,Platinum,89160
2161,Male,Urban,Bachelor,More than 10L,0,4,5527,1,A,Platinum,34608
40008,Male,Urban,Bachelor,5L-10L,1,0,0,More than 1,B,Platinum,66000
14445,Male,Rural,Bachelor,5L-10L,1,1,3447,1,C,Silver,45672
57828,Male,Urban,Bachelor,More than 10L,1,3,2052,More than 1,B,Silver,73032
10706,Female,Urban,Bachelor,5L-10L,1,6,5672,1,A,Platinum,35004
58777,Male,Urban,Bachelor,5L-10L,1,4,5340,1,A,Silver,32520
49088,Female,Urban,Bachelor,2L-5L,0,5,0,1,B,Platinum,62808
49312,Female,Urban,Bachelor,5L-10L,0,3,4405,More than 1,A,Silver,102048
46651,Male,Urban,High School,2L-5L,0,8,3913,More than 1,B,Silver,96276
76480,Male,Urban,High School,2L-5L,0,6,6855,More than 1,B,Platinum,248208
44505,Male,Urban,Bachelor,5L-10L,0,7,6868,More than 1,A,Gold,108108
65326,Female,Urban,Bachelor,<=2L,0,5,5804,More than 1,B,Platinum,100500
47013,Female,Rural,Bachelor,More than 10L,1,7,0,1,C,Silver,50868
29080,Male,Rural,High School,More than 10L,0,3,3040,1,C,Gold,56064
20609,Male,Urban,High School,5L-10L,0,6,0,More than 1,A,Silver,157080
5761,Female,Rural,Others,2L-5L,0,6,0,1,B,Silver,30624
47612,Male,Urban,Bachelor,5L-10L,1,3,4371,1,B,Silver,30720
26965,Male,Urban,High School,5L-10L,0,1,11258,1,A,Silver,50556
23452,Male,Rural,Others,2L-5L,1,5,3068,1,B,Platinum,57816
56903,Male,Urban,Bachelor,5L-10L,0,3,4461,More than 1,A,Gold,119688
51764,Female,Rural,Bachelor,More than 10L,1,5,2190,More than 1,A,Silver,92604
66950,Male,Urban,High School,2L-5L,0,7,5127,More than 1,C,Silver,109956
14397,Male,Urban,High School,5L-10L,1,3,6225,1,A,Platinum,35616
4099,Female,Urban,High School,More than 10L,0,7,5499,More than 1,B,Silver,66888
55143,Male,Urban,High School,More than 10L,0,6,4223,More than 1,A,Platinum,157368
50180,Female,Urban,High School,2L-5L,1,4,7864,More than 1,A,Platinum,130548
23998,Male,Urban,High School,5L-10L,1,6,2169,More than 1,A,Platinum,106644
63200,Female,Urban,High School,<=2L,1,5,3664,More than 1,C,Platinum,63624
70846,Male,Urban,High School,5L-10L,0,5,3625,More than 1,B,Platinum,96276
82313,Male,Urban,High School,5L-10L,1,4,2404,1,B,Platinum,47724
34492,Female,Rural,Bachelor,5L-10L,1,1,0,More than 1,B,Platinum,60480
19791,Male,Urban,High School,2L-5L,1,8,5523,1,C,Silver,30828
15975,Male,Urban,Bachelor,5L-10L,1,0,0,1,A,Gold,37128
26561,Female,Urban,High School,<=2L,1,1,6073,1,A,Platinum,47688
7567,Female,Rural,Bachelor,More than 10L,1,0,0,More than 1,B,Platinum,72528
37953,Male,Urban,High School,5L-10L,1,7,4380,More than 1,A,Gold,91788
16800,Male,Rural,Others,2L-5L,1,5,0,1,A,Silver,111900
13036,Male,Urban,High School,2L-5L,1,4,2121,1,A,Gold,29196
59478,Male,Urban,High School,More than 10L,1,6,4000,1,A,Platinum,35244
71658,Male,Urban,Others,5L-10L,1,2,6966,1,A,Gold,52284
24952,Male,Urban,Bachelor,5L-10L,1,5,0,1,A,Gold,33768
15211,Female,Rural,Bachelor,5L-10L,0,6,6339,More than 1,A,Gold,57984
79253,Female,Urban,Others,5L-10L,1,7,5573,1,A,Silver,53040
32116,Male,Rural,Bachelor,More than 10L,0,6,0,1,A,Silver,33528
51637,Female,Urban,Bachelor,More than 10L,1,7,8007,More than 1,A,Platinum,83220
35624,Male,Rural,High School,5L-10L,1,7,0,More than 1,A,Platinum,41196
55326,Female,Urban,High School,5L-10L,0,5,0,More than 1,A,Platinum,100236
76901,Male,Rural,High School,5L-10L,0,7,0,1,A,Gold,31188
2802,Female,Urban,High School,More than 10L,1,7,2376,More than 1,B,Platinum,69792
70296,Female,Urban,High School,5L-10L,1,5,4411,More than 1,A,Platinum,96756
72288,Female,Urban,Bachelor,5L-10L,0,1,0,More than 1,C,Silver,59580
83970,Female,Urban,Bachelor,5L-10L,1,4,6074,1,A,Platinum,36240
35471,Male,Urban,Bachelor,5L-10L,1,4,5762,1,A,Silver,40644
50606,Female,Urban,High School,5L-10L,1,8,4044,More than 1,A,Platinum,416232
23118,Female,Urban,Bachelor,5L-10L,0,7,0,More than 1,B,Silver,67176
22436,Male,Urban,Bachelor,2L-5L,0,0,5331,1,B,Silver,31896
40164,Female,Rural,High School,5L-10L,1,5,2880,1,A,Gold,45552
72612,Female,Urban,High School,5L-10L,1,4,2664,1,A,Platinum,64248
34283,Male,Urban,High School,5L-10L,1,8,4672,1,B,Silver,57804
27275,Male,Urban,High School,5L-10L,1,3,5298,More than 1,A,Platinum,268368
34612,Male,Urban,Bachelor,5L-10L,1,8,6002,More than 1,A,Silver,101544
56849,Male,Urban,Others,More than 10L,0,8,3627,1,B,Silver,49908
86117,Female,Urban,Bachelor,2L-5L,0,8,5568,More than 1,A,Platinum,58416
33059,Male,Urban,High School,5L-10L,0,5,2232,1,A,Platinum,34128
49446,Male,Urban,High School,More than 10L,0,6,4999,1,A,Gold,36264
32351,Male,Urban,Bachelor,5L-10L,1,7,3865,More than 1,A,Platinum,116760
983,Male,Rural,Bachelor,5L-10L,0,5,4316,More than 1,B,Platinum,98016
28851,Male,Urban,High School,2L-5L,0,1,0,1,B,Gold,39504
7157,Male,Rural,Others,5L-10L,1,5,5997,1,B,Silver,43800
70794,Female,Urban,Bachelor,5L-10L,0,2,3725,More than 1,A,Platinum,104568
87815,Male,Urban,High School,5L-10L,0,6,9538,1,A,Platinum,48936
83287,Female,Urban,Bachelor,5L-10L,0,4,4148,More than 1,A,Platinum,112068
70092,Female,Rural,High School,2L-5L,0,4,0,More than 1,B,Platinum,109044
54712,Male,Urban,Bachelor,2L-5L,1,1,6071,1,A,Silver,36516
14104,Male,Urban,High School,2L-5L,1,1,3832,1,A,Platinum,57720
30057,Male,Urban,High School,More than 10L,1,5,4054,1,A,Platinum,35460
28711,Female,Urban,Others,<=2L,0,6,6548,1,A,Silver,48636
41749,Male,Urban,High School,<=2L,0,6,4145,More than 1,C,Silver,57732
35897,Male,Rural,Bachelor,2L-5L,0,5,0,1,A,Silver,37104
87296,Female,Urban,High School,More than 10L,0,7,5967,More than 1,A,Platinum,105624
22947,Male,Urban,High School,5L-10L,1,6,6361,More than 1,A,Platinum,98820
59470,Female,Rural,Others,5L-10L,1,5,2261,1,A,Platinum,61236
13364,Male,Urban,Bachelor,5L-10L,1,2,10358,More than 1,A,Gold,317220
43673,Male,Urban,High School,2L-5L,1,7,4970,1,A,Silver,33816
18638,Male,Rural,Bachelor,5L-10L,1,7,3010,1,A,Platinum,47436
52646,Male,Urban,High School,2L-5L,1,7,6686,More than 1,B,Gold,73140
39098,Female,Urban,High School,5L-10L,1,2,7496,More than 1,A,Platinum,97032
81769,Male,Urban,Bachelor,2L-5L,1,8,3798,More than 1,A,Silver,97356
72141,Female,Urban,High School,More than 10L,1,4,0,1,A,Gold,31728
25331,Male,Rural,High School,More than 10L,1,5,2023,1,A,Silver,49800
66832,Female,Urban,High School,5L-10L,1,7,2190,More than 1,A,Gold,101928
78803,Female,Urban,High School,2L-5L,1,3,5157,1,B,Silver,34812
87468,Male,Urban,High School,5L-10L,1,8,2873,More than 1,A,Silver,103284
37531,Male,Urban,High School,5L-10L,1,7,8304,More than 1,A,Platinum,105192
86014,Male,Urban,Bachelor,5L-10L,0,4,5977,1,A,Platinum,40404
48602,Male,Urban,Bachelor,2L-5L,1,6,2308,1,A,Silver,34152
41552,Male,Urban,Others,5L-10L,0,5,2412,1,B,Platinum,36000
79618,Male,Urban,Bachelor,2L-5L,0,0,2076,1,B,Silver,57180
10170,Male,Urban,High School,2L-5L,1,5,0,1,A,Silver,33636
19929,Male,Urban,High School,5L-10L,1,7,0,More than 1,B,Platinum,71808
80790,Male,Urban,Bachelor,5L-10L,1,3,3116,1,C,Platinum,40788
52500,Male,Rural,High School,5L-10L,1,7,3842,More than 1,B,Platinum,69792
49550,Male,Urban,Bachelor,More than 10L,1,8,2860,More than 1,B,Platinum,75456
42146,Male,Urban,High School,5L-10L,0,4,6519,1,A,Silver,37632
24988,Male,Urban,High School,2L-5L,1,6,16965,More than 1,A,Gold,97908
26075,Male,Urban,High School,5L-10L,0,7,4266,More than 1,B,Platinum,573312
83061,Female,Rural,Bachelor,5L-10L,0,6,0,More than 1,A,Silver,98244
60331,Female,Urban,High School,5L-10L,1,4,4412,1,B,Gold,39984
63407,Female,Urban,High School,5L-10L,0,4,6153,1,C,Silver,55656
37239,Male,Rural,High School,More than 10L,0,8,2463,More than 1,A,Gold,96840
37159,Male,Urban,High School,5L-10L,0,1,3311,More than 1,A,Platinum,100464
36732,Female,Urban,Bachelor,5L-10L,1,7,6210,More than 1,A,Silver,98832
81282,Male,Urban,Bachelor,5L-10L,1,6,2792,1,A,Platinum,43404
38654,Male,Rural,High School,2L-5L,0,7,0,More than 1,B,Platinum,68688
39963,Male,Urban,High School,2L-5L,1,5,5264,1,A,Silver,35748
68773,Female,Urban,Others,5L-10L,1,4,0,More than 1,A,Gold,66888
38968,Male,Urban,High School,5L-10L,0,3,4533,1,A,Platinum,104568
60158,Male,Urban,Bachelor,2L-5L,1,6,8264,More than 1,B,Platinum,428292
51806,Female,Urban,High School,5L-10L,1,6,6068,More than 1,A,Gold,89628
5406,Male,Rural,High School,More than 10L,1,5,2007,1,B,Silver,67320
